	id	type	available	role	mfr	hw	sw	serial	driver	chassisId	lastUpdate	humanReadableLastUpdate	annotations
23	of:0000000000000022	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	22	1742925271102	connected 16h15m ago	{'channelId': '10.10.10.96:48538', 'datapathDescription': 's34', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
24	of:0000000000000020	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	20	1742925271574	connected 16h15m ago	{'channelId': '10.10.10.96:48800', 'datapathDescription': 's32', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
25	of:0000000000000003	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	3	1742925271348	connected 16h15m ago	{'channelId': '10.10.10.96:48690', 'datapathDescription': 's3', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
26	of:0000000000000025	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	25	1742925271521	connected 16h15m ago	{'channelId': '10.10.10.96:48780', 'datapathDescription': 's37', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
27	of:0000000000000026	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	26	1742925271113	connected 16h15m ago	{'channelId': '10.10.10.96:48562', 'datapathDescription': 's38', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
28	of:0000000000000004	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	4	1742925271493	connected 16h15m ago	{'channelId': '10.10.10.96:48706', 'datapathDescription': 's4', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
29	of:0000000000000023	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	23	1742925271090	connected 16h15m ago	{'channelId': '10.10.10.96:48486', 'datapathDescription': 's35', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
30	of:0000000000000001	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	1	1742925271301	connected 16h15m ago	{'channelId': '10.10.10.96:48680', 'datapathDescription': 's1', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
31	of:0000000000000024	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	24	1742925271256	connected 16h15m ago	{'channelId': '10.10.10.96:48606', 'datapathDescription': 's36', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
32	of:0000000000000002	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	2	1742925271521	connected 16h15m ago	{'channelId': '10.10.10.96:48754', 'datapathDescription': 's2', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
33	of:0000000000000007	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	7	1742925271304	connected 16h15m ago	{'channelId': '10.10.10.96:48692', 'datapathDescription': 's7', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
34	of:0000000000000008	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	8	1742925271169	connected 16h15m ago	{'channelId': '10.10.10.96:48506', 'datapathDescription': 's8', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
35	of:0000000000000005	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	5	1742925271182	connected 16h15m ago	{'channelId': '10.10.10.96:48582', 'datapathDescription': 's5', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
36	of:0000000000000027	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	27	1742925271198	connected 16h15m ago	{'channelId': '10.10.10.96:48772', 'datapathDescription': 's39', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
37	of:0000000000000028	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	28	1742925271195	connected 16h15m ago	{'channelId': '10.10.10.96:48602', 'datapathDescription': 's40', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
38	of:0000000000000006	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	6	1742925271345	connected 16h15m ago	{'channelId': '10.10.10.96:48668', 'datapathDescription': 's6', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
39	of:0000000000000009	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	9	1742925271280	connected 16h15m ago	{'channelId': '10.10.10.96:48652', 'datapathDescription': 's9', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
