	port	packetsReceived	packetsSent	bytesReceived	bytesSent	packetsRxDropped	packetsTxDropped	packetsRxErrors	packetsTxErrors	durationSec	device
74	3	959	54302	60586	6005408	0	0	0	0	58541	of:000000000000001f
75	4	937	54327	59634	6006458	0	0	0	0	58541	of:000000000000001f
76	1	55574	40460	6133204	5460448	0	0	0	0	58541	of:0000000000000021
77	2	943	54311	59914	6005666	0	0	0	0	58541	of:0000000000000021
78	3	947	54298	60082	6005044	0	0	0	0	58541	of:0000000000000021
79	4	901	54298	58122	6005044	0	0	0	0	58541	of:0000000000000021
80	1	55583	40475	6133630	5461209	0	0	0	0	58541	of:0000000000000022
81	2	935	54304	59578	6005520	0	0	0	0	58541	of:0000000000000022
82	3	951	54305	60222	6005534	0	0	0	0	58541	of:0000000000000022
83	4	923	54316	59074	6006024	0	0	0	0	58541	of:0000000000000022
84	1	55578	40485	6057828	5461694	0	0	0	0	58541	of:0000000000000020
85	2	924	54293	59088	6005030	0	0	0	0	58541	of:0000000000000020
86	3	956	54299	60460	6005282	0	0	0	0	58541	of:0000000000000020
87	4	938	54328	59676	6006500	0	0	0	0	58541	of:0000000000000020
88	1	56637	56328	6125304	6101676	0	0	0	0	58541	of:0000000000000003
89	2	55926	56154	6073846	6094340	0	0	0	0	58541	of:0000000000000003
90	3	55374	54369	6044026	5978378	0	0	0	0	58541	of:0000000000000003
91	4	52762	41694	5915730	5440904	0	0	0	0	58541	of:0000000000000003
92	5	54877	55069	6006294	6019706	0	0	0	0	58541	of:0000000000000003
93	6	54421	55836	5980228	6068328	0	0	0	0	58541	of:0000000000000003
94	7	930	54325	59340	5968582	0	0	0	0	58541	of:0000000000000003
95	8	40505	55597	5462562	6058626	0	0	0	0	58541	of:0000000000000003
96	9	40485	55578	5461694	6057828	0	0	0	0	58541	of:0000000000000003
97	10	40460	55574	5460448	6133204	0	0	0	0	58541	of:0000000000000003
98	11	40475	55583	5461209	6133630	0	0	0	0	58541	of:0000000000000003
99	12	40491	55600	5461750	6134344	0	0	0	0	58541	of:0000000000000003
100	1	55910	40480	6071578	5461484	0	0	0	0	58541	of:0000000000000025
101	2	951	54630	60222	6019212	0	0	0	0	58541	of:0000000000000025
102	3	955	54641	60390	6019646	0	0	0	0	58541	of:0000000000000025
103	4	905	54616	58290	6018624	0	0	0	0	58541	of:0000000000000025
104	1	55898	40468	6071074	5461008	0	0	0	0	58541	of:0000000000000026
105	2	955	54634	60390	6019284	0	0	0	0	58541	of:0000000000000026
106	3	939	54624	59746	6018932	0	0	0	0	58541	of:0000000000000026
107	4	901	54613	58122	6018498	0	0	0	0	58541	of:0000000000000026
108	1	56154	55926	6094340	6073846	0	0	0	0	58541	of:0000000000000004
109	2	54119	56052	5963540	6085550	0	0	0	0	58541	of:0000000000000004
110	3	53780	42494	5997734	5482122	0	0	0	0	58541	of:0000000000000004
111	4	55532	55629	6049456	6053980	0	0	0	0	58541	of:0000000000000004
112	5	56180	56997	6097049	6142264	0	0	0	0	58541	of:0000000000000004
113	6	914	54624	58668	5980994	0	0	0	0	58541	of:0000000000000004
114	7	40497	55926	5462226	6072278	0	0	0	0	58541	of:0000000000000004
115	8	40480	55910	5461484	6071578	0	0	0	0	58541	of:0000000000000004
116	9	40468	55898	5461008	6071074	0	0	0	0	58541	of:0000000000000004
117	10	40498	55929	5462240	6147916	0	0	0	0	58541	of:0000000000000004
118	11	40502	55924	5462371	6147706	0	0	0	0	58541	of:0000000000000004
119	1	55600	40491	6134344	5461750	0	0	0	0	58541	of:0000000000000023
120	2	944	54311	59928	6005590	0	0	0	0	58541	of:0000000000000023
121	3	959	54311	60558	6005590	0	0	0	0	58541	of:0000000000000023
122	4	924	54314	59116	6005716	0	0	0	0	58541	of:0000000000000023
123	1	44194	53545	5592292	5984874	0	0	0	0	58541	of:0000000000000001
124	2	42558	53272	5494192	5954592	0	0	0	0	58541	of:0000000000000001
125	3	44907	50485	5571652	5843810	0	0	0	0	58541	of:0000000000000001
126	4	41532	55052	5460657	6029352	0	0	0	0	58541	of:0000000000000001
127	5	43425	54306	5581592	5989406	0	0	0	0	58541	of:0000000000000001
128	6	928	54677	59256	5983498	0	0	0	0	58541	of:0000000000000001
129	7	40526	62622	5463612	6355076	0	0	0	0	58541	of:0000000000000001
130	8	46854	55923	5729444	6072850	0	0	0	0	58541	of:0000000000000001
131	9	40552	56006	5464471	6075964	0	0	0	0	58541	of:0000000000000001
132	10	40503	55967	5462450	6149870	0	0	0	0	58541	of:0000000000000001
133	11	40507	55975	5462646	6150141	0	0	0	0	58541	of:0000000000000001
134	1	55926	40497	6072278	5462226	0	0	0	0	58541	of:0000000000000024
135	2	944	54623	59928	6018918	0	0	0	0	58541	of:0000000000000024
136	3	950	54629	60180	6019142	0	0	0	0	58541	of:0000000000000024
137	4	936	54651	59620	6020066	0	0	0	0	58541	of:0000000000000024
138	1	53545	44194	5984874	5592292	0	0	0	0	58541	of:0000000000000002
139	2	56328	56637	6101676	6125304	0	0	0	0	58541	of:0000000000000002
140	3	55492	54531	6050822	5983054	0	0	0	0	58541	of:0000000000000002
141	4	54710	55284	5995978	6034140	0	0	0	0	58541	of:0000000000000002
142	5	54879	54567	6006350	5986358	0	0	0	0	58541	of:0000000000000002
143	6	54973	55465	6017076	6047762	0	0	0	0	58541	of:0000000000000002
144	7	916	54451	58752	5973978	0	0	0	0	58541	of:0000000000000002
145	8	40490	55746	5461904	6065016	0	0	0	0	58541	of:0000000000000002
146	9	40528	55792	5463528	6066920	0	0	0	0	58541	of:0000000000000002
147	10	40486	55750	5461764	6140680	0	0	0	0	58541	of:0000000000000002
148	11	40478	55738	5461232	6140196	0	0	0	0	58541	of:0000000000000002
149	12	40486	55734	5461475	6140008	0	0	0	0	58541	of:0000000000000002
150	1	55052	41532	6029352	5460657	0	0	0	0	58541	of:0000000000000007
151	2	54567	54879	5986358	6006350	0	0	0	0	58541	of:0000000000000007
152	3	55069	54877	6019706	6006294	0	0	0	0	58541	of:0000000000000007
153	4	55629	55532	6053980	6049456	0	0	0	0	58541	of:0000000000000007
154	5	40429	55734	5459342	6064436	0	0	0	0	58541	of:0000000000000007
155	6	38722	54485	5350960	5975242	0	0	0	0	58541	of:0000000000000007
156	7	39612	55119	5406932	6020540	0	0	0	0	58541	of:0000000000000007
157	1	54306	43425	5989406	5581592	0	0	0	0	58541	of:0000000000000008
158	2	55465	54973	6047762	6017076	0	0	0	0	58541	of:0000000000000008
159	3	55836	54421	6068328	5980228	0	0	0	0	58541	of:0000000000000008
160	4	56997	56180	6142264	6097049	0	0	0	0	58541	of:0000000000000008
161	5	38710	54312	5350343	5967782	0	0	0	0	58541	of:0000000000000008
162	6	40479	55622	5461377	6059538	0	0	0	0	58541	of:0000000000000008
163	7	38712	54319	5350492	5968076	0	0	0	0	58541	of:0000000000000008
164	1	53272	42558	5954592	5494192	0	0	0	0	58541	of:0000000000000005
165	2	54531	55492	5983054	6050822	0	0	0	0	58541	of:0000000000000005
166	3	54369	55374	5978378	6044026	0	0	0	0	58541	of:0000000000000005
167	4	56052	54119	6085550	5963540	0	0	0	0	58541	of:0000000000000005
168	5	38716	54696	5312916	5983864	0	0	0	0	58541	of:0000000000000005
169	6	40449	56012	5460182	6075974	0	0	0	0	58541	of:0000000000000005
170	7	39634	55356	5407808	6030278	0	0	0	0	58541	of:0000000000000005
171	1	55929	40498	6147916	5462240	0	0	0	0	58541	of:0000000000000027
172	2	963	54641	60726	6019646	0	0	0	0	58541	of:0000000000000027
173	3	941	54627	59802	6019058	0	0	0	0	58541	of:0000000000000027
174	4	927	54638	59214	6019520	0	0	0	0	58541	of:0000000000000027
175	1	55924	40502	6147706	5462371	0	0	0	0	58541	of:0000000000000028
176	2	962	54631	60684	6019226	0	0	0	0	58541	of:0000000000000028
177	3	949	54635	60138	6019394	0	0	0	0	58541	of:0000000000000028
178	4	921	54633	58962	6019338	0	0	0	0	58541	of:0000000000000028
179	1	50485	44907	5843810	5571652	0	0	0	0	58541	of:0000000000000006
180	2	55284	54710	6034140	5995978	0	0	0	0	58541	of:0000000000000006
181	3	41694	52762	5440904	5915730	0	0	0	0	58541	of:0000000000000006
182	4	42494	53780	5482122	5997734	0	0	0	0	58541	of:0000000000000006
183	5	39604	55153	5406624	6021737	0	0	0	0	58541	of:0000000000000006
184	6	39544	55135	5404028	6021024	0	0	0	0	58541	of:0000000000000006
185	7	38692	54491	5349652	5975384	0	0	0	0	58541	of:0000000000000006
186	1	54696	38716	5983864	5312916	0	0	0	0	58541	of:0000000000000009
187	2	913	54702	58626	5984576	0	0	0	0	58541	of:0000000000000009
